Цветохвостник яванский
Боровик королевский
Мутинус Равенелли
Рядовка грязная
Зонтик белый
Белый гриб сетчатый
Шампиньон лесной (Благушка)
Рядовка скученная
Млечник дубовый
Сыроежка красивая
Пецица коричневая
Коллибия веретеноногая
Маслёнок серый
Гиропорус песчаный
Опенок луковичноногий
Подберезовик разноцветный
Калоцера клейкая
Паутинник багряный
Меланогастер Брума
Говорушка подогнутая
Рядовка надломленная
Паутинник козий
Свинушка ольховая (Свинушка осиновая)
Мицена чистая
Груздь болотный
Лепиота ядовитая
Боровик жёлтый
Вешенка рожковидная
Дрожалка оранжевая
Больбитус золотистый
Стереум пурпурный
Рогатик аметистовый
Трутовик майский
Паутинник кроваво-красный
Фулиго гнилостный
Навозник домашний
Трутовик зимний
Паутинник шафрановый
Мокруха пятнистая
Сыроежка съедобная
Траметес разноцветный
Рядовка вонючая
Боровик двухцветный
Мухомор Виттадини
Поплавок шафрановый
Огнёвка ольховая (Чешуйчатка ольховая)
Говорушка беловатая
Мутинус собачий
Белонавозник Бирнбаума
Паутинник серебристый
Плютей золотисто-окрашенный
Сыроежка
Поплавок белоснежный
Леотия студенистая
Пизолитус красильный
Лаковица большая
Лензитес берёзовый
Мухомор Элиаса
Сморчок толстоногий
Подосиновик белоножковый
Ксеромфалина колокольчатая
Ложнодождевик бородавчатый
Трутовик киноварно-красный
Чесночник большой
Гимнопус желтопластинчатый
Гифолома головообразная
Шампиньон полуобутый
Альбатреллус краснеющий
Рядовка печальная
Лисичка обыкновенная
Рядовка украшенная
Ежовик жёлтый
Сатанинский гриб
Рядовка белая
Шампиньон желтокожий
Аурикулярия извилистая
Паутинник фиолетовый
Опенок луговой
Говорушка дымчатая (Рядовка дымчатая)
Шампиньон плоскошляпковый
Рогатик пестиковый
Энтолома весенняя
Млечник ароматный
Мухомор шишковидный
Строфария корончатая
Сыроежка розовая
Псатирелла Кандолля
Ризопогон розоватый
Рядовка сросшаяся
Шишкогриб хлопьеножковый
Моховик древесный
Паутинник красивейший
Плютей ивовый
Боровик розовокожий
Подберезовик болотный
Аскокорине мясная
Весёлка Хадриана
Ежовик шероховатый
Дрожалка мозговая
Трутовик гартига
Рядовка горбатая
Паутинник оранжевый
Млечник мокрый
Трутовик дымчатый
Альбатреллус гребенчатый
Гиродон мерулиусовидный
Паутинник коричный
Удемансиелла слизистая
Гигрофор буковый
Болет красивоножковый
Мухомор вонючий
Паутинник плюшевый
Мухомор красный
Гигрофор оливково-белый
Боровик придаточковый
Польский гриб
Рядовка фиолетовая
Зонтик пёстрый
Рядовка майская
Гигроцибе жёлто-зелёная (Гигроцибе темно-хлорная)
Тиромицес белоснежный
Паутинник слизевой
Паутинник рыже-оливковый
Шапочка коническая
Негниючник вонючий
Коллибия обернутая
Гоенбуелия лепестковидная
Говорушка белёсая
Млечник голубой
Головач мешковатый
Волоконница острая
Говорушка булавоногая
Лепиота пильчатая (Зонтик пильчатый)
Навозник серый
Сыроежка жгучеедкая
Лепиота острочешуйчатая
Коллибия каштановая
Грифола курчавая (Гриб-баран)
Трутовик ложный
Сыроежка Келе
Паутинник голубой
Трутовик изменчивый
Мухомор сицилийский
Колпачок белый
Мухомор Баттарры
Мокруха розовая
